Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
vm20018-prod-latamcleanstore-web01,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,17.474127,23.353606,-5.879479,DOWN
kiosoft-coffee,KioSoft Globalazure  Subscription,kiosoft-test,17.555909,23.236405,-5.680496,DOWN
azurebackup_vm20015-prod-doris01_929623888390188024,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.0,5.329045,-5.329045,REMOVED
aks-agentpool-12407023-vmss / 0,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.38,9.052266,5.327734,UP
aks-agentpool-12407023-vmss / 1,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.38,9.052266,5.327734,UP
prod-sage-db01,KioSoft Globalazure  Subscription,sage300c_v2022,161.528857,166.835747,-5.30689,DOWN
vm127-prod-tcn,KioSoft Globalazure  Subscription,rg54-prod-tcn,162.210496,167.469937,-5.259441,DOWN
vm10010-stage-market-soft01,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,5.190498,0.0,5.190498,NEW
azurebackup_vm20001-prod-doris02_929623887656452901,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.0,5.08616,-5.08616,REMOVED
azurebackup_vm20002-prod-doris03_929623887202446712,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.0,5.084459,-5.084459,REMOVED
vm20011-prod-prometheus,KioSoft Globalazure  Subscription,rg20002-prod-om,21.01288,26.044103,-5.031222,DOWN
mysql10-prod-universal,KioSoft Globalazure  Subscription,cmk,97.862681,92.933668,4.929013,UP
disk10013-automated-testing-platform,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,4.894586,0.0,4.894586,NEW
vm20004-prod-jenkins01,KioSoft Globalazure  Subscription,rg20001-prod-devops,20.465757,25.03765,-4.571893,DOWN
sut_vnetgateway,KioSoft Globalazure  Subscription,sut,136.8,141.359233,-4.559233,DOWN
vm157-prod-operation-management,KioSoft Globalazure  Subscription,rg59-prod-operationcenter,16.30232,20.79862,-4.4963,DOWN
vm157-prod-operation-management_osdisk_1_44e32bf4140e41b5ab909cfae5f92d2c,KioSoft Globalazure  Subscription,rg59-prod-operationcenter,15.683164,20.13962,-4.456456,DOWN
vm156-prod-operationcenter_datadisk,KioSoft Globalazure  Subscription,rg59-prod-operationcenter,15.683164,20.112199,-4.429035,DOWN
disk10003-test-olap01-data,KioSoft Globalazure  Subscription,rg10001-test-olap,37.596172,33.180138,4.416034,UP
mysql14-prod-market,KioSoft Globalazure  Subscription,retail,278.852558,283.237959,-4.385401,DOWN
mysql23-prod-csc-universal,KioSoft Globalazure  Subscription,rg20003-prod-csc,79.271551,83.521563,-4.250012,DOWN
nat-lb-test,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,4.006706,0.0,4.006706,NEW
vm10001-test-internal-server,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,23.196393,19.219748,3.976645,UP
vm130-prod-csc-retail-reportserver07,KioSoft Globalazure  Subscription,rg52-prod-csc,16.035029,19.889096,-3.854067,DOWN
vm10011-automated-testing-platform,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,3.702831,0.0,3.702831,NEW
azurebackup_vm20011-prod-pometheus-backup_929623887343452660,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.523278,4.188323,-3.665045,DOWN
kiosoft-es_osdisk_1_ab5bfb0ab1fb445abcd8754025a9e037,KioSoft Globalazure  Subscription,dbmonitor,72.621369,76.211829,-3.59046,DOWN
rsv02-prod-eastus2,KioSoft Globalazure  Subscription,backup,45.038336,48.625854,-3.587518,DOWN
restore-mysql12-prod-cleanstore-slowest-utc-20250924161103,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,3.42402,0.0,3.42402,NEW
vm10009-stage-market-web02,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,14.446196,11.028278,3.417918,UP
pip171-vm143-prod-latamcleanstore-web03,KioSoft Globalazure  Subscription,retail,0.0,3.389763,-3.389763,REMOVED
pip172-vm142-prod-latamcleanstore-web02,KioSoft Globalazure  Subscription,retail,0.0,3.389763,-3.389763,REMOVED
prod-internationalretail-ip,KioSoft Globalazure  Subscription,retail,0.0,3.389763,-3.389763,REMOVED
disk20019-prod-doris01-data01,KioSoft Globalazure  Subscription,rg20000-prod-olap,101.156556,104.523007,-3.366451,DOWN
pip10006-stage-market-single,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,0.380004,3.720199,-3.340195,DOWN
pip20007-prod-elk,KioSoft Globalazure  Subscription,rg20002-prod-om,0.380004,3.720199,-3.340195,DOWN
snipe-it-ip,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,0.380004,3.720199,-3.340195,DOWN
vm156-prod-operationcenter,KioSoft Globalazure  Subscription,rg59-prod-operationcenter,12.214952,15.541435,-3.326484,DOWN
sa33prodtms,KioSoft Globalazure  Subscription,tmsprod,75.450846,78.768442,-3.317596,DOWN
prod-universal-web02-new,KioSoft Globalazure  Subscription,cmk,39.971941,43.284654,-3.312712,DOWN
redis01-test-universal,KioSoft Globalazure  Subscription,kiosoft-test,99.359905,102.671754,-3.311849,DOWN
redis04-test-csc,KioSoft Globalazure  Subscription,rg51-test-csc,99.359905,102.671754,-3.311849,DOWN
redis05-test-omdryun01,KioSoft Globalazure  Subscription,rg48-stage-cleanstore,99.359905,102.671754,-3.311849,DOWN
prod-universal-web01-new,KioSoft Globalazure  Subscription,cmk,40.262871,43.548169,-3.285298,DOWN
pip172-vm142-prod-latamcleanstore-web02,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,3.60004,0.330436,3.269603,UP
prod-internationalretail-ip,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,3.60004,0.330436,3.269603,UP
