Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
azurebackup_vm73-prod-modem_929623888755050499,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,11.555866,11.555866,0,SAME
azurebackup_vm90-prod-powerbi_929623888027641471,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,2.103669,2.103669,0,SAME
azurebackup_vm97-prod-csc-universal-web01_929623888750657210,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,7.057742,7.057742,0,SAME
azurebackup_vm98-prod-csc-universal-web02_929623888600091599,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,7.22461,7.22461,0,SAME
azurebackup_vm99-prod-csc-universal-web03_929623888409280534,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.831384,6.831384,0,SAME
azusprod.kiosoft.com,KioSoft Globalazure  Subscription,usprod,0.481714,0.481714,0,SAME
bak-202412291941-capser,KioSoft Globalazure  Subscription,dbmonitor,10.726142,10.726142,0,SAME
bigdata1datafactory,KioSoft Globalazure  Subscription,rg9998-test-bigdata-infrastructure,21.60025,21.60025,0,SAME
bigdata1storageac,KioSoft Globalazure  Subscription,rg9998-test-bigdata-infrastructure,4.406397,4.406397,0,SAME
cctestaksbackup,KioSoft Globalazure  Subscription,commandcenter,0.000186,0.000186,0,SAME
cmk,KioSoft Globalazure  Subscription,cmk,17.766968,17.766968,0,SAME
cmk_osdisk_1_877fdd916a1c4a98abf230e509521e82,KioSoft Globalazure  Subscription,cmk,19.285836,19.285836,0,SAME
cmk-ip,KioSoft Globalazure  Subscription,cmk,3.60004,3.60004,0,SAME
cpu usage percentage - aks-test,KioSoft Globalazure  Subscription,rg9997-test-devops-infrastructure,0.059039,0.059039,0,SAME
cpu usage percentage - aks10000_cc_test,KioSoft Globalazure  Subscription,commandcenter,0.059039,0.059039,0,SAME
cpu usage percentage - aks10000-test-cc,KioSoft Globalazure  Subscription,commandcenter,0.092191,0.092191,0,SAME
cpu usage percentage - cc-test,KioSoft Globalazure  Subscription,commandcenter,0.059039,0.059039,0,SAME
cpu usage percentage - cc-tti-test,KioSoft Globalazure  Subscription,commandcenter,0.059039,0.059039,0,SAME
critical-mysql offline-mysql05-test-retail,KioSoft Globalazure  Subscription,kiosoft-test,0.092191,0.092191,0,SAME
datafactoryerror,KioSoft Globalazure  Subscription,rg10003-test-datalake,0,0,0,SAME
db-cpu-high,KioSoft Globalazure  Subscription,kiosoft-test,0.057118,0.057118,0,SAME
dbmonitor,KioSoft Globalazure  Subscription,dbmonitor,15.919847,15.919847,0,SAME
dbmonitor-ip,KioSoft Globalazure  Subscription,dbmonitor,3.60004,3.60004,0,SAME
dbmonitor-nsg,KioSoft Globalazure  Subscription,dbmonitor,4.305119,4.305119,0,SAME
dbmonitor-osdisk-20241018-133820,KioSoft Globalazure  Subscription,dbmonitor,39.532283,39.532283,0,SAME
dbstoragemfwmlslycntz2,KioSoft Globalazure  Subscription,databricks-rg-kiodatabricks-63wh3jijrnppk,0.006668,0.006668,0,SAME
ddos attack-amusement,KioSoft Globalazure  Subscription,retail,0.092191,0.092191,0,SAME
ddos attack-cleanstore-web01,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.059039,0.059039,0,SAME
ddos attack-cleanstore-web02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092191,0.092191,0,SAME
ddos attack-cleanstore-web05,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092191,0.092191,0,SAME
ddos attack-cleanstore-web06,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092191,0.092191,0,SAME
ddos attack-csc,KioSoft Globalazure  Subscription,rg52-prod-csc,0.092191,0.092191,0,SAME
ddos attack-international,KioSoft Globalazure  Subscription,retail,0.092191,0.092191,0,SAME
ddos attack-universal,KioSoft Globalazure  Subscription,cmk,0.092191,0.092191,0,SAME
defaultazuremonitorworkspace-eus,KioSoft Globalazure  Subscription,commandcenter,19.324397,19.324397,0,SAME
defaultworkspace-6276588a-9234-41ee-a81c-7538ea3a817e-eus,KioSoft Globalazure  Subscription,defaultresourcegroup-eus,890.502209,890.502209,0,SAME
defaultworkspace-6276588a-9234-41ee-a81c-7538ea3a817e-eus2,KioSoft Globalazure  Subscription,defaultresourcegroup-eus2,0,0,0,SAME
defaultworkspace-6276588a-9234-41ee-a81c-7538ea3a817e-fim,KioSoft Globalazure  Subscription,fim-datacollectionrules,0.001277,0.001277,0,SAME
dev,KioSoft Globalazure  Subscription,kiosoft-test,20.457404,20.457404,0,SAME
dev-ip,KioSoft Globalazure  Subscription,kiosoft-test,3.60004,3.60004,0,SAME
dev-osdisk-20221213-085144,KioSoft Globalazure  Subscription,kiosoft-test,19.905351,19.905351,0,SAME
disk10001-test-internal-server,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,19.483123,19.483123,0,SAME
disk10002-test-olap01,KioSoft Globalazure  Subscription,rg10001-test-olap,19.60464,19.60464,0,SAME
disk10003-test-olap01-data,KioSoft Globalazure  Subscription,rg10001-test-olap,37.596172,37.596172,0,SAME
disk10004-test-elk01-os,KioSoft Globalazure  Subscription,rg10002-test-devops,19.285836,19.285836,0,SAME
disk10005-test-elk01-data01,KioSoft Globalazure  Subscription,rg10002-test-devops,71.643981,71.643981,0,SAME
disk10006-stage-kiopos-web01,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,19.527054,19.527054,0,SAME
disk10007-stage-kiopos-soft01,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,19.525766,19.525766,0,SAME
disk10008-stage-market-single,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,2.067762,2.067762,0,SAME
disk10009-test-qa-universal-web01,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,37.37041,37.37041,0,SAME
disk10010-stage-market-web01,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,5.475381,5.475381,0,SAME
disk10011-stage-market-web02,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,5.462236,5.462236,0,SAME
disk10012-stage-market-soft01,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,6.826185,6.826185,0,SAME
disk10013-automated-testing-platform,KioSoft Globalazure  Subscription,rg10000-test-kiocentral,4.894586,4.894586,0,SAME
disk20003-prod-seatunnel01,KioSoft Globalazure  Subscription,rg20000-prod-olap,71.643981,71.643981,0,SAME
