ResourceGroup,ResourceGroupId,SubscriptionName,SubscriptionId,Resource,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,loadbalance07-prod-csc-universalweb,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/loadbalancers/loadbalance07-prod-csc-universalweb,Load balancer,US East,[],18.00157909,18.00157909,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm109-prod-csc-retail-reportserver04,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm109-prod-csc-retail-reportserver04,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",16.14098575,16.14098575,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm128-prod-csc-retail-reportserver05,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm128-prod-csc-retail-reportserver05,Virtual machine,US East,"[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",16.03972323,16.03972323,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm130-prod-csc-retail-reportserver07,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm130-prod-csc-retail-reportserver07,Virtual machine,US East,"[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",16.03502913,16.03502913,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm106-prod-csc-retail-reportserver01,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm106-prod-csc-retail-reportserver01,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",16.0346888,16.0346888,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm131-prod-csc-retail-reportserver08,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm131-prod-csc-retail-reportserver08,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",16.02240631,16.02240631,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm107-prod-csc-retail-reportserver02,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm107-prod-csc-retail-reportserver02,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",16.01196412,16.01196412,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm108-prod-csc-retail-reportserver03,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm108-prod-csc-retail-reportserver03,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",16.00156796,16.00156796,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm129-prod-csc-retail-reportserver06,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm129-prod-csc-retail-reportserver06,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",15.99313799,15.99313799,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm101-prod-csc-universal-soft01,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm101-prod-csc-universal-soft01,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",15.94566521,15.94566521,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pe01-sa28-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/privateendpoints/pe01-sa28-prod-csc,Private endpoint,US East,[],7.2,7.2,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip132-vm97-prod-csc-universal-web01,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip132-vm97-prod-csc-universal-web01,Public IP address,US East,[],3.600039685,3.600039685,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip133-vm98-prod-csc-universal-web02,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip133-vm98-prod-csc-universal-web02,Public IP address,US East,[],3.600039685,3.600039685,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip134-vm99-prod-csc-universal-web03,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip134-vm99-prod-csc-universal-web03,Public IP address,US East,[],3.600039685,3.600039685,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip135-vm100-prod-csc-universal-web04,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip135-vm100-prod-csc-universal-web04,Public IP address,US East,[],3.600039685,3.600039685,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip136-vm101-prod-csc-universal-soft01,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip136-vm101-prod-csc-universal-soft01,Public IP address,US East,[],3.600039685,3.600039685,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip137-vm102-prod-csc-retail-web01,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip137-vm102-prod-csc-retail-web01,Public IP address,US East,[],3.600039685,3.600039685,USD
